BoxOfficeMojo,IMDB,OriginalOrder,FilmName,Classic,ImDb_A,Boxofficemojo_A,Year,InflatedBudget,TotalGross,InflatedGross,V15,Check_enj_label,Proportion_male,Appr_alphas,Enj_alphas,Enjoyment,Enjoyment_SD,ViewerCount_enj,Check_appr_label,Appreciation,Appr_SD,ViewerCount_appr,Crime,Drama,Western,Action,Biography,History,Adventure,Fantasy,Mystery,SciFi,Romance,Thriller,War,Family,Animation,Comedy,MovieImdbID,UserRank,SubDownloadsCnt,TotalWords,HarmVirtue,HarmVirtueratio,HarmVice,HarmViceratio,FairnessVirtue,FairnessVirtueratio,FairnessVice,FairnessViceratio,IngroupVirtue,IngroupVirtueratio,IngroupVice,IngroupViceratio,AuthorityVirtue,AuthorityVirtueratio,AuthorityVice,AuthorityViceratio,PurityVirtue,PurityVirtueratio,PurityVice,PurityViceratio,MoralityGeneral,MoralityGeneralratio
1,0,37,ToyStory3_Classic,0.60,0,1,2010,"$213,273,627.00","$1,063,171,911.00","$1,133,732,647.92",ToyStory3,ToyStory3_enj,0.29,0.886,0.961,6.35,0.88,185,ToyStory3_appr,5.7603603603603600,1.2978484108146000,185,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,435761,trusted,3010,8031,16,0.001992,13,0.001619,2,0.000249,0,0.00000,20,0.002490,3,0.000374,14,0.001743,2,0.000249,4,0.000498,1,0.000125,39,0.004856
1,0,38,PCAÊOnStrangerTides_Classic,0.13,0,1,2011,"$259,078,750.00","$1,045,713,802.00","$1,083,688,898.72",StrangerTides,StrangerTides_enj,0.36,0.950,0.976,5.37,1.30,99,StrangerTides_appr,3.7244897959183700,1.5158766570581200,98,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1298650,,11493,4723,9,0.001906,13,0.002752,5,0.001059,0,0.00000,7,0.001482,5,0.001059,24,0.005082,3,0.000635,9,0.001906,6,0.001270,23,0.004870
1,0,39,JurassicPark_Classic,0.90,0,1,1993,"$100,073,224.01","$1,029,153,882.00","$1,634,773,761.48",JurassicPark,JurassicPark_enj,0.31,0.905,0.903,5.87,1.04,160,JurassicPark_appr,4.6252587991718400,1.5224057004071400,161,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,107290,gold member,629,4137,6,0.001450,18,0.004351,0,0.000000,0,0.00000,8,0.001934,0,0.000000,1,0.000242,0,0.000000,0,0.000000,1,0.000242,19,0.004593
1,0,40,StarWarsI_Classic,0.64,0,1,1999,"$158,921,123.63","$1,027,044,677.00","$1,419,296,470.33",PhantomMenace,PhantomMenace_enj,0.46,0.936,0.966,5.50,1.36,90,PhantomMenace_appr,4.5128205128205100,1.6668945713124300,91,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,120915,,2086,9430,32,0.003393,32,0.003393,4,0.000424,0,0.00000,8,0.000848,1,0.000106,53,0.005620,4,0.000424,5,0.000530,0,0.000000,37,0.003924
1,0,41,AliceWonderland_Classic,0.68,0,1,2010,"$213,273,627.00","$1,025,467,110.00","$1,093,525,449.59",AliceInWonderland,AliceInWonderland_enj,0.24,0.883,0.948,5.75,1.10,166,AliceInWonderland_appr,4.6514227642276400,1.3930656517743300,164,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1014759,trusted,2360,6460,2,0.000310,21,0.003251,0,0.000000,1,0.00016,4,0.000619,1,0.000155,13,0.002012,0,0.000000,0,0.000000,5,0.000774,26,0.004025
1,0,42,TheHobbit_Classic,0.29,0,1,2012,"$182,700,000.00","$1,017,003,568.00","$1,032,258,621.52",HobbitUnexpectedJourney,HobbitUnexpectedJourney_enj,0.38,0.942,0.961,5.45,1.32,83,HobbitUnexpectedJourney_appr,4.3170731707317100,1.5287841255956400,82,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,903624,,589,7905,16,0.002024,19,0.002404,5,0.000633,0,0.00000,10,0.001265,13,0.001645,15,0.001898,3,0.000380,3,0.000380,9,0.001139,41,0.005187
1,0,43,LionKing_Classic,0.98,0,1,1994,"$69,669,468.12","$987,483,777.00","$1,528,832,656.04",LionKing,LionKing_enj,0.28,0.860,0.936,6.45,0.62,223,LionKing_appr,6.0059790732436500,1.0526500832462200,223,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,110357,bronze member,3685,5374,1,0.000186,18,0.003349,3,0.000558,0,0.00000,8,0.001489,2,0.000372,20,0.003722,2,0.000372,1,0.000186,4,0.000744,30,0.005582
1,0,44,HPSorcerersStone_Classic,0.63,0,1,2001,"$164,429,430.63","$974,755,371.00","$1,282,227,765.27",HPSorcerersStone,HPSorcerersStone_enj,0.27,0.938,0.938,6.10,0.95,179,HPSorcerersStone_appr,5.0435185185185200,1.5009167371299000,180,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,304142,gold member,2093,8250,20,0.002424,14,0.001697,3,0.000364,0,0.00000,10,0.001212,2,0.000242,18,0.002182,0,0.000000,5,0.000606,6,0.000727,62,0.007515
1,0,45,HPÊDeathlyHallows1_Classic,0.41,0,1,2010,"$133,296,016.87","$960,283,305.00","$1,024,015,517.02",DeathlyHallows1,DeathlyHallows1_enj,0.27,0.911,0.903,5.93,0.97,159,DeathlyHallows1_appr,4.9433962264150900,1.5225485459523900,159,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,926084,,2445,8208,18,0.002193,28,0.003411,4,0.000487,0,0.00000,7,0.000853,6,0.000731,17,0.002071,6,0.000731,3,0.000365,5,0.000609,22,0.002680
1,0,46,HPOrderofthePhoenix_Classic,0.38,0,1,2007,"$168,015,294.70","$939,885,929.00","$1,052,768,075.62",HPPhoenix,HPPhoenix_enj,0.27,0.938,0.942,5.91,1.01,151,HPPhoenix_appr,5.0242825607064000,1.4402156925643800,151,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,944836,,7898,3643,15,0.004117,24,0.006588,4,0.001098,1,0.00027,1,0.000274,2,0.000549,17,0.004666,2,0.000549,1,0.000274,0,0.000000,20,0.005490
1,0,47,HPHalfBloodPrince_Classic,0.41,0,1,2009,"$270,857,506.29","$934,416,487.00","$1,012,374,878.02",HPHalfBlood,HPHalfBlood_enj,0.28,0.945,0.941,5.91,1.01,151,HPHalfBlood_appr,4.9955849889624700,1.5347755318887200,151,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,417741,bronze member,15309,9420,12,0.001274,35,0.003715,2,0.000212,1,0.00011,9,0.000955,3,0.000318,27,0.002866,0,0.000000,2,0.000212,3,0.000318,33,0.003503
1,0,48,Shrek2_Classic,0.18,0,1,2004,"$183,056,998.37","$919,838,758.00","$1,122,552,813.48",Shrektwo,Shrektwo_enj,0.27,0.921,0.942,5.89,0.96,161,Shrektwo_appr,3.9062500000000000,1.5145102392687100,160,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,298148,gold member,719,6870,7,0.001019,6,0.000873,3,0.000437,0,0.00000,8,0.001164,0,0.000000,20,0.002911,0,0.000000,1,0.000146,5,0.000728,39,0.005677
